id,state_po,county,democrat,republican,dempct
599,IA,Floyd,3179.0,4375.0,0.4208366428382314
600,IA,Hancock,1587.0,3977.0,0.28522645578720346
601,IA,Jasper,7109.0,10560.0,0.40234308676212577
602,IA,Jones,3787.0,5720.0,0.3983380666877038
603,IA,Mitchell,1888.0,3190.0,0.37179992122883027
604,IA,Warren,10411.0,14814.0,0.4127254707631318
605,IA,Wayne,719.0,2069.0,0.2578909612625538
606,IA,Webster,6305.0,10056.0,0.3853676425646354
607,IA,Worth,1530.0,2453.0,0.3841325633944263
608,IA,Adair,1133.0,2461.0,0.3152476349471341
609,IA,Allamakee,2421.0,4093.0,0.37166103776481424
610,IA,Appanoose,1814.0,4033.0,0.31024456986488796
611,IA,Audubon,1080.0,2136.0,0.3358208955223881
612,IA,Black Hawk,32233.0,27476.0,0.53983486576563
613,IA,Bremer,5356.0,7208.0,0.4262973575294492
614,IA,Buchanan,3970.0,5510.0,0.41877637130801687
615,IA,Buena Vista,2856.0,4903.0,0.3680886712205181
616,IA,Cass,1951.0,4761.0,0.29067342073897495
617,IA,Cedar,3599.0,5295.0,0.404654823476501
618,IA,Cerro Gordo,9862.0,11621.0,0.4590606526090397
619,IA,Chickasaw,2266.0,3742.0,0.37716378162450065
620,IA,Clinton,10095.0,11276.0,0.472369098310795
621,IA,Davis,977.0,2723.0,0.2640540540540541
622,IA,Delaware,2957.0,5694.0,0.3418101953531384
623,IA,Des Moines,8212.0,9529.0,0.4628825883546587
624,IA,Dickinson,3056.0,6753.0,0.3115506167805077
625,IA,Dubuque,22850.0,23460.0,0.49341394947095657
626,IA,Emmet,1357.0,3124.0,0.3028341887971435
627,IA,Grundy,1856.0,4527.0,0.2907723640921197
628,IA,Guthrie,1732.0,3628.0,0.32313432835820893
629,IA,Hardin,2787.0,5254.0,0.3465986817560005
630,IA,Harrison,2131.0,4902.0,0.3030001421868335
631,IA,Ida,792.0,2655.0,0.2297650130548303
632,IA,Iowa,3084.0,5205.0,0.3720593557727108
633,IA,Keokuk,1342.0,3390.0,0.28360101437024515
634,IA,Kossuth,2543.0,5653.0,0.3102733040507565
635,IA,Linn,58935.0,48390.0,0.5491264849755416
636,IA,Louisa,1648.0,3069.0,0.34937460250158997
637,IA,Lucas,1239.0,2877.0,0.3010204081632653
638,IA,Lyon,920.0,5192.0,0.1505235602094241
639,IA,Mahaska,2619.0,7432.0,0.26057108745398466
640,IA,Mills,2090.0,5067.0,0.2920217968422523
641,IA,Monona,1247.0,3120.0,0.2855507213189833
642,IA,Muscatine,8368.0,9584.0,0.4661319073083779
643,IA,O'Brien,1315.0,5752.0,0.18607612848450544
644,IA,Page,1807.0,4893.0,0.26970149253731346
645,IA,Palo Alto,1398.0,3081.0,0.3121232417950435
646,IA,Plymouth,2885.0,9680.0,0.22960604854755273
647,IA,Pocahontas,963.0,2702.0,0.2627557980900409
648,IA,Pottawattamie,15355.0,24447.0,0.38578463393799306
649,IA,Poweshiek,4304.0,4946.0,0.4652972972972973
650,IA,Ringgold,753.0,1824.0,0.29220023282887075
651,IA,Sac,1270.0,3703.0,0.2553790468530062
652,IA,Sioux,2300.0,14785.0,0.13462101258413814
653,IA,Story,25709.0,19458.0,0.5691987513007284
654,IA,Tama,3196.0,4971.0,0.39133096608301704
655,IA,Wapello,5594.0,8715.0,0.3909427632958278
656,IA,Winnebago,1931.0,3447.0,0.3590554109334325
657,IA,Winneshiek,5254.0,5344.0,0.4957539158331761
658,IA,Woodbury,16210.0,24727.0,0.39597430197620737
659,IA,Wright,1896.0,3800.0,0.33286516853932585
660,ID,Elmore,1814.0,5816.0,0.23774574049803407
661,ID,Franklin,385.0,3901.0,0.08982734484367709
662,ID,Jefferson,976.0,8436.0,0.10369740756481088
663,ID,Madison,1201.0,8941.0,0.11841845789785052
664,ID,Washington,776.0,3283.0,0.191180093619118
665,ID,Clark,44.0,203.0,0.17813765182186234
